strategy,pair,trades,winrate,pnl,sharpe,sortino,max_dd,calmar
Base SMC,BTCUSDT,324,0.4599,2.404,2.2131,2.0739,-0.441,11.8792
Base SMC,ETHUSDT,329,0.4468,2.9756,2.2553,1.9161,-0.4477,16.6478
Base SMC,XRPUSDT,333,0.4474,3.5255,2.1065,1.8745,-0.545,14.4219
Base SMC,SOLUSDT,334,0.4431,3.1949,2.1318,1.8692,-0.5217,13.9485
Pine Swing,BTCUSDT,201,0.592,4.9273,5.2031,4.0235,-0.2973,298.1269
Pine Swing,ETHUSDT,199,0.5879,5.6397,4.9273,4.6105,-0.3509,425.9322
Pine Swing,XRPUSDT,191,0.5602,6.4661,4.5698,3.8389,-0.5994,413.9909
Pine Swing,SOLUSDT,199,0.5678,6.1103,4.7328,4.2387,-0.4445,456.496
MTF (4h+1h),BTCUSDT,414,0.4444,2.3768,1.9517,1.9867,-0.5387,7.8644
MTF (4h+1h),ETHUSDT,420,0.4333,2.9744,2.0054,1.8929,-0.6249,9.2136
MTF (4h+1h),XRPUSDT,425,0.4329,3.4516,1.8433,1.7897,-0.6978,6.9552
MTF (4h+1h),SOLUSDT,427,0.4286,3.0479,1.8074,1.7654,-0.66,6.5897
MTF + FVG,BTCUSDT,370,0.4568,2.7005,2.3371,2.2661,-0.4726,14.3599
MTF + FVG,ETHUSDT,378,0.4497,3.4627,2.4312,2.322,-0.58,18.9419
MTF + FVG,XRPUSDT,383,0.4465,4.0579,2.265,2.2844,-0.6269,18.2247
MTF + FVG,SOLUSDT,385,0.4468,3.844,2.3742,2.3577,-0.5794,21.1294
Confluence,BTCUSDT,319,0.4639,2.4941,2.2576,2.5198,-0.3892,14.6325
Confluence,ETHUSDT,327,0.4587,3.134,2.3194,2.3862,-0.4138,20.5671
Confluence,XRPUSDT,336,0.4435,3.5746,2.0666,2.1615,-0.5849,12.8318
Confluence,SOLUSDT,333,0.4535,3.6192,2.3414,2.398,-0.4752,22.784
Conf + PD,BTCUSDT,319,0.4639,2.4941,2.2576,2.5198,-0.3892,14.6325
Conf + PD,ETHUSDT,327,0.4587,3.134,2.3194,2.3862,-0.4138,20.5671
Conf + PD,XRPUSDT,336,0.4435,3.5746,2.0666,2.1615,-0.5849,12.8318
Conf + PD,SOLUSDT,333,0.4535,3.6192,2.3414,2.398,-0.4752,22.784
