name,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct,sl_hits,tp_hits
"MTF(sw5,e50)+RM1x2+f40",3.414,38.12,58.09,19.97,48.7,1.92,-2.9,36.1,4396,21.54,22.7,222,210
"MTF(sw5,e50)+RM1x2+f50",3.395,38.22,58.29,20.07,48.7,1.92,-2.9,36.1,4396,21.3,22.8,222,210
"MTF(sw5,e50)+RM1x2+f60",3.392,38.19,58.26,20.08,48.7,1.92,-2.9,36.1,4396,21.26,22.8,222,210
"MTF(sw7,e50)+RM1x2+f40",3.294,37.66,56.51,18.85,48.9,1.93,-2.8,34.1,4153,21.31,22.7,209,199
"MTF(sw7,e50)+RM1x2+f50",3.28,38.17,57.17,19.01,48.9,1.93,-2.9,34.1,4153,20.88,22.9,209,199
"MTF(sw7,e50)+RM1x2+f60",3.276,38.18,57.2,19.02,48.9,1.93,-2.9,34.1,4153,20.8,22.9,209,199
"MTF(sw5,e100)+RM1x2+f40",3.145,33.27,51.55,18.29,48.7,1.94,-2.9,32.4,3942,19.74,23.2,199,189
"MTF(sw5,e100)+RM1x2+f50",3.129,33.67,52.12,18.45,48.7,1.94,-3.0,32.4,3942,19.03,23.4,199,189
"MTF(sw5,e100)+RM1x2+f60",3.12,33.6,52.07,18.47,48.7,1.94,-3.0,32.4,3942,18.83,23.4,199,189
"MTF(sw3,e50)+RM1x2+f40",3.103,30.8,50.11,19.31,47.9,1.84,-2.9,38.6,4696,18.71,20.6,239,221
"MTF(sw3,e50)+RM1x2+f50",3.099,30.9,50.27,19.37,47.9,1.84,-2.9,38.6,4696,18.59,20.6,239,221
"MTF(sw3,e50)+RM1x2+f60",3.097,30.9,50.28,19.37,47.9,1.84,-2.9,38.6,4696,18.57,20.6,239,221
SMC(sw7)+RM1x2+f50,2.73,30.3,46.42,16.13,47.1,1.81,-2.9,32.1,3906,15.08,20.6,203,180
SMC(sw7)+RM1x2+f60,2.728,30.29,46.43,16.14,47.1,1.81,-2.9,32.1,3906,15.08,20.7,203,180
SMC(sw5)+RM1x2+f50,2.556,23.32,39.83,16.51,46.6,1.76,-2.8,35.7,4344,16.96,19.0,228,198
SMC(sw5)+RM1x2+f60,2.555,23.31,39.82,16.51,46.6,1.76,-2.8,35.7,4344,16.96,19.0,228,198
SMC(sw10)+RM1x2+f50,2.452,23.94,38.45,14.5,46.4,1.77,-2.7,29.3,3559,13.92,20.4,188,162
SMC(sw10)+RM1x2+f60,2.451,23.97,38.48,14.51,46.4,1.77,-2.8,29.3,3559,13.92,20.4,188,162
"MTF(sw5,e50)+RM15x2+f40",2.448,27.34,39.95,12.61,48.6,1.76,-3.6,26.5,3223,11.75,19.6,153,134
"MTF(sw5,e50)+RM15x2+f50",2.436,27.56,40.23,12.67,48.6,1.76,-3.7,26.5,3223,11.45,19.6,153,134
"MTF(sw5,e50)+RM15x2+f60",2.434,27.54,40.21,12.67,48.6,1.76,-3.7,26.5,3223,11.43,19.7,153,134
"MTF(sw5,e50)+RM1x3+f40",2.421,19.89,31.9,12.01,39.6,1.82,-2.4,29.7,3615,13.54,16.6,214,126
"MTF(sw5,e50)+RM1x3+f50",2.412,19.82,31.84,12.03,39.6,1.82,-2.4,29.7,3615,13.5,16.6,214,126
"MTF(sw5,e50)+RM1x3+f60",2.411,19.81,31.84,12.03,39.6,1.82,-2.4,29.7,3615,13.46,16.6,214,126
