name,net_sharpe,gross_sharpe,net_pct,gross_pct,fee_cost_pct,winrate,profit_factor,max_dd,t_month,n_trades,calmar
"MultiEMA(34/89/200,ADX>30)",0.843,0.917,0.43,0.47,0.04,64.1,12.64,-0.3,0.8,47,13.06
"Turtle(en15,ex7,et100)",0.809,1.054,3.14,4.08,0.95,42.7,1.66,-1.6,8.6,521,3.53
"SAR(af0.01,m0.15,et100)",0.635,0.745,2.77,3.25,0.48,47.7,1.8,-1.7,3.6,219,1.35
"HA(cb2,et100)",0.604,0.692,2.04,2.33,0.3,47.3,1.95,-1.4,2.6,161,1.29
"HeikinAshi(cb2,et100) [R2]",0.604,0.692,2.04,2.33,0.3,47.3,1.95,-1.4,2.6,161,1.29
"CCI(p20,t100,et100)",0.52,0.591,1.25,1.42,0.17,50.3,1.65,-0.9,2.2,135,2.13
SAR(et50) [R2],0.516,0.585,3.9,4.42,0.52,42.4,1.76,-1.9,4.3,260,1.46
"WR(p21,os-85,et100)",0.485,0.537,1.35,1.5,0.15,48.9,1.56,-0.9,2.0,123,2.24
"WR(p21,os-80,et100)",0.447,0.503,1.21,1.36,0.15,51.5,1.66,-0.8,2.1,130,2.46
"WR(p28,os-85,et100)",0.418,0.522,0.35,0.44,0.09,50.3,1.57,-0.6,1.6,100,1.19
"SMC(sw5,hold48)",0.402,0.505,2.26,2.84,0.58,52.3,1.74,-3.4,3.4,204,0.82
"WR(p28,os-80) [R2]",0.324,0.419,0.22,0.29,0.06,52.7,1.41,-0.7,1.3,81,0.6
"Chandelier(p14,m3,et200)",0.065,0.076,1.17,1.37,0.2,44.6,1.67,-1.5,2.3,139,0.44
