pair,timeframe,rank,total_pnl,winrate,profit_factor,trades,swing_window,max_hold,require_fvg,use_choch_filter
BTCUSDT,1d,1,0.3555,0.6875,5.3057,16,7,5,False,True
BTCUSDT,1d,2,0.3393,0.6471,4.4382,17,7,5,False,False
BTCUSDT,1d,3,0.2744,0.6923,6.1719,13,7,5,True,True
BTCUSDT,1d,4,0.2654,0.75,4.897,8,7,15,False,True
BTCUSDT,1d,5,0.2636,0.7778,7.9937,9,7,10,True,True
BTCUSDT,1d,6,0.2589,0.6667,2.8387,18,5,5,False,True
BTCUSDT,1d,7,0.2583,0.6429,4.7325,14,7,5,True,False
BTCUSDT,1d,8,0.2544,0.7273,3.6896,11,5,10,True,True
BTCUSDT,1d,9,0.2487,0.75,3.0648,12,5,10,False,True
BTCUSDT,1d,10,0.2483,0.8,4.9072,10,7,10,False,True
BTCUSDT,1d,11,0.2423,0.5556,2.009,27,3,5,False,False
BTCUSDT,1d,12,0.2345,0.6842,1.8164,19,3,10,False,False
BTCUSDT,1d,13,0.2344,0.6,2.7514,10,5,15,False,True
BTCUSDT,1d,14,0.2294,0.6667,3.2047,9,7,15,False,False
BTCUSDT,1d,15,0.2276,0.5714,2.322,21,5,5,False,False
BTCUSDT,1d,16,0.2197,0.5455,2.1528,22,3,5,True,False
BTCUSDT,1d,17,0.218,0.7,3.6188,10,7,10,True,False
BTCUSDT,1d,18,0.2162,0.5714,3.2008,7,7,20,False,True
BTCUSDT,1d,19,0.2159,0.6667,2.6376,15,5,5,True,True
BTCUSDT,1d,20,0.2155,0.6667,2.2597,18,10,5,False,False
BTCUSDT,1d,21,0.2061,0.625,4.4383,8,7,15,True,True
BTCUSDT,1d,22,0.2027,0.7273,2.8581,11,7,10,False,False
BTCUSDT,1d,23,0.1925,0.5,2.5789,8,7,20,False,False
BTCUSDT,1d,24,0.1848,0.619,2.1589,21,3,5,False,True
BTCUSDT,1d,25,0.1846,0.5556,2.1311,18,5,5,True,False
BTCUSDT,1d,26,0.1761,0.5455,2.2342,11,10,10,False,False
BTCUSDT,1d,27,0.1752,0.5,2.3935,10,5,15,True,True
BTCUSDT,1d,28,0.1701,0.5556,2.7741,9,7,15,True,False
BTCUSDT,1d,29,0.1621,0.6667,1.6689,15,3,10,False,True
BTCUSDT,1d,30,0.1579,0.75,2.5802,8,10,15,False,False
BTCUSDT,1d,31,0.1513,0.5556,1.4655,18,3,10,True,False
BTCUSDT,1d,32,0.147,0.5,2.0556,10,10,10,True,False
BTCUSDT,1d,33,0.1453,0.5556,1.8035,18,15,5,False,False
BTCUSDT,1d,34,0.1435,0.4286,2.1171,7,7,20,True,True
BTCUSDT,1d,35,0.1426,0.4545,1.9537,11,15,10,False,False
BTCUSDT,1d,36,0.1369,0.4118,1.3414,17,3,15,False,False
BTCUSDT,1d,37,0.1328,0.5714,2.0592,14,10,5,True,False
BTCUSDT,1d,38,0.1261,0.5714,1.9545,14,15,5,True,False
BTCUSDT,1d,39,0.1247,0.5714,1.6412,7,7,30,False,True
BTCUSDT,1d,40,0.1244,0.625,2.1651,8,15,15,False,False
BTCUSDT,1d,41,0.1244,0.5294,1.8058,17,3,5,True,True
BTCUSDT,1d,42,0.1234,0.375,1.3232,16,3,15,True,False
BTCUSDT,1d,43,0.1223,0.5,1.5834,8,7,30,False,False
BTCUSDT,1d,44,0.1198,0.375,1.7875,8,7,20,True,False
BTCUSDT,1d,45,0.1171,0.4286,1.5669,7,7,30,True,True
BTCUSDT,1d,46,0.1155,0.5556,1.5761,9,5,20,False,True
BTCUSDT,1d,47,0.0953,0.5714,1.3759,14,5,10,True,False
BTCUSDT,1d,48,0.0931,0.375,1.4387,8,7,30,True,False
BTCUSDT,1d,49,0.0899,0.4,1.6094,10,15,10,True,False
BTCUSDT,1d,50,0.0896,0.6,1.3207,15,5,10,False,False
BTCUSDT,1d,51,0.0695,0.6,1.5988,10,10,5,False,True
BTCUSDT,1d,52,0.0668,0.5,1.6553,8,10,15,True,False
BTCUSDT,1d,53,0.0595,0.5714,2.1296,7,10,5,True,True
BTCUSDT,1d,54,0.0532,0.5714,1.2135,14,3,10,True,True
BTCUSDT,1d,55,0.0527,0.5714,1.8885,7,15,5,True,True
BTCUSDT,1d,56,0.0515,0.4444,1.2317,9,5,20,True,True
BTCUSDT,1d,57,0.0503,0.375,1.4465,8,15,15,True,False
BTCUSDT,1d,58,0.0482,0.5,1.2441,8,10,20,False,False
BTCUSDT,1d,59,0.0364,0.4,1.5579,5,10,10,True,True
BTCUSDT,1d,60,0.0276,0.4667,1.0727,15,3,20,False,False
BTCUSDT,1d,61,0.0255,0.375,1.1337,8,10,20,True,False
BTCUSDT,1d,62,0.0197,0.5,1.2041,6,10,10,False,True
BTCUSDT,1d,63,0.0147,0.375,1.0721,8,15,20,False,False
BTCUSDT,1d,64,0.0095,0.4615,1.0264,13,5,15,False,False
BTCUSDT,1d,65,-0.0008,0.4,0.9936,10,15,5,False,True
BTCUSDT,1d,66,-0.0043,0.25,0.9783,8,15,20,True,False
BTCUSDT,1d,67,-0.0103,0.3333,0.9693,9,5,30,True,True
BTCUSDT,1d,68,-0.0113,0.4444,0.9657,9,5,30,False,True
