name,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,calmar,frac_pct,partial_tp_hits,trail_hits
OPT·trail1.0·p0.33·adx13,-3.003,-35.95,60.75,96.7,68.8,3.02,-3.3,143.2,19.46,27.8,709,1029
OPT·trail1.0·p0.33·adx16,-2.876,-33.67,59.1,92.77,68.9,3.04,-3.3,136.6,18.47,27.9,678,981
OPT·trail1.0·p0.33·adx20,-2.439,-27.03,55.88,82.91,69.2,3.11,-3.2,121.1,17.8,28.1,602,868
OPT·trail1.0·p0.5·adx13,-0.266,-3.97,89.33,93.3,64.5,3.04,-3.1,124.6,30.62,30.8,487,1024
OPT·trail1.0·p0.5·adx16,-0.254,-3.69,85.78,89.47,64.5,3.05,-3.3,118.8,26.98,30.9,465,977
OPT·trail1.0·p0.5·adx20,0.078,1.08,81.36,80.28,65.0,3.14,-3.1,105.6,27.36,31.2,417,864
OPT·trail1.0·p0.67·adx13,-1.641,-20.43,57.0,77.43,58.6,2.5,-3.7,106.9,17.39,29.8,272,1024
OPT·trail1.0·p0.67·adx16,-1.556,-18.97,55.42,74.39,58.7,2.52,-3.6,101.9,17.05,30.0,259,977
OPT·trail1.0·p0.67·adx20,-1.211,-14.16,52.53,66.69,59.1,2.57,-3.5,90.2,15.98,30.4,230,864
OPT·trail1.5·p0.33·adx13,0.982,10.61,62.78,52.17,66.2,3.23,-3.3,101.0,19.91,21.2,534,616
OPT·trail1.5·p0.33·adx16,1.015,10.87,61.2,50.33,66.3,3.25,-3.3,96.3,19.89,21.5,510,587
OPT·trail1.5·p0.33·adx20,1.05,10.43,55.04,44.61,66.4,3.3,-3.2,85.4,18.6,21.5,454,520
OPT·trail1.5·p0.5·adx13,2.716,39.75,97.13,57.37,65.0,3.14,-3.6,90.5,28.37,26.1,434,586
OPT·trail1.5·p0.5·adx16,2.693,38.59,93.8,55.21,65.2,3.16,-3.8,86.2,25.67,26.3,414,559
OPT·trail1.5·p0.5·adx20,2.67,35.35,84.19,48.84,65.3,3.22,-3.7,76.3,23.25,26.3,368,494
OPT·trail1.5·p0.67·adx13,3.717,71.37,129.51,58.15,62.7,3.12,-4.0,82.2,33.07,29.1,342,577
OPT·trail1.5·p0.67·adx16,3.73,70.48,126.53,56.05,62.9,3.15,-4.2,78.4,30.92,29.4,327,550
OPT·trail1.5·p0.67·adx20,3.44,59.11,108.57,49.47,62.8,3.17,-4.1,69.2,26.97,29.4,288,487
OPT·trail2.0·p0.33·adx13,5.811,85.68,128.86,43.18,63.5,4.25,-2.5,89.9,53.8,19.7,474,439
OPT·trail2.0·p0.33·adx16,5.633,80.68,122.23,41.55,63.6,4.25,-2.4,85.5,51.89,20.0,452,417
OPT·trail2.0·p0.33·adx20,5.444,72.45,109.78,37.34,63.9,4.38,-2.3,75.8,48.66,20.2,403,368
OPT·trail2.0·p0.5·adx13,5.818,103.01,150.11,47.1,63.2,3.82,-3.2,80.4,50.55,24.1,393,402
OPT·trail2.0·p0.5·adx16,5.706,97.7,142.87,45.17,63.3,3.84,-3.0,76.5,48.11,24.3,374,382
OPT·trail2.0·p0.5·adx20,5.511,86.77,127.28,40.51,63.7,3.94,-2.9,67.7,42.49,24.6,333,336
OPT·trail2.0·p0.67·adx13,5.852,137.13,186.72,49.59,62.7,3.65,-4.1,74.0,46.65,27.6,334,377
OPT·trail2.0·p0.67·adx16,5.713,127.96,175.33,47.37,62.8,3.66,-3.8,70.4,46.46,27.6,318,359
OPT·trail2.0·p0.67·adx20,5.396,109.92,152.22,42.3,63.0,3.73,-3.8,62.3,40.12,27.9,282,317
OPT·trail2.5·p0.33·adx13,7.485,132.05,175.27,43.23,63.8,4.79,-2.3,88.6,78.24,20.0,468,393
OPT·trail2.5·p0.33·adx16,7.272,125.0,166.67,41.66,63.9,4.79,-2.2,84.3,74.41,20.3,445,373
OPT·trail2.5·p0.33·adx20,6.987,110.43,147.72,37.29,64.2,4.95,-2.1,74.7,69.41,20.5,396,328
OPT·trail2.5·p0.5·adx13,7.123,147.89,195.36,47.47,63.6,4.25,-3.2,79.2,64.24,24.6,387,354
OPT·trail2.5·p0.5·adx16,6.969,139.76,185.16,45.41,63.7,4.27,-3.0,75.4,64.21,24.8,369,336
OPT·trail2.5·p0.5·adx20,6.702,122.35,163.07,40.72,64.1,4.39,-2.9,66.7,54.68,25.1,328,294
OPT·trail2.5·p0.67·adx13,6.537,174.56,224.35,49.79,63.8,3.98,-4.2,72.6,53.82,28.2,330,323
OPT·trail2.5·p0.67·adx16,6.384,162.62,210.0,47.38,63.9,4.0,-3.9,69.2,54.22,28.1,315,307
OPT·trail2.5·p0.67·adx20,6.018,138.07,180.41,42.34,64.2,4.08,-4.1,61.2,43.16,28.5,279,269
OPT·trail3.0·p0.33·adx13,7.768,141.85,185.33,43.48,64.1,4.89,-2.3,88.6,84.46,20.2,468,387
OPT·trail3.0·p0.33·adx16,7.561,135.18,177.16,41.98,64.2,4.89,-2.2,84.3,79.06,20.5,445,367
OPT·trail3.0·p0.33·adx20,7.261,119.38,156.96,37.58,64.5,5.05,-2.1,74.7,73.52,20.7,396,322
OPT·trail3.0·p0.5·adx13,7.368,159.01,206.82,47.81,63.9,4.33,-3.2,79.2,67.3,24.8,387,347
OPT·trail3.0·p0.5·adx16,7.208,150.37,196.12,45.75,64.0,4.36,-3.0,75.4,67.39,24.9,369,329
OPT·trail3.0·p0.5·adx20,6.925,131.24,172.27,41.02,64.4,4.48,-2.9,66.7,58.42,25.3,328,288
