name,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,calmar,frac_pct
MTF_sw3_e50,7.701,139.25,184.01,44.76,63.7,4.75,-2.2,92.5,82.8,19.9
MTF_sw5_e50,7.942,150.45,195.05,44.6,64.1,4.87,-2.1,90.4,96.44,20.3
MTF_sw7_e50,7.731,146.51,192.08,45.57,64.3,4.72,-2.4,89.9,84.03,20.8
MTF_sw3_e100,6.356,83.41,120.11,36.7,63.1,4.56,-2.0,81.9,59.75,18.4
MTF_sw5_e100,6.807,96.25,132.83,36.58,63.7,4.74,-2.0,79.8,68.5,18.8
MTF_sw10_e50,7.384,135.53,180.38,44.85,64.0,4.56,-2.5,90.5,73.95,20.4
AdaptMTF,8.003,153.29,198.06,44.77,64.2,4.91,-2.1,90.4,92.35,20.4
StochRSI_14,-0.374,-2.24,11.04,13.28,55.7,2.48,-3.1,42.0,3.46,13.0
Ichimoku,-0.555,-2.24,2.04,4.28,53.6,2.24,-1.5,25.4,1.15,6.9
FibRet,-3.673,-11.45,2.1,13.54,51.7,2.0,-3.0,93.3,0.96,6.0
MktStruct,0.919,0.04,0.04,0.01,75.3,inf,-0.0,0.4,inf,0.9
MACD_RSI,-0.963,-4.45,6.08,10.52,54.3,2.26,-3.4,40.3,2.31,10.7
LinReg,-0.935,-4.6,7.61,12.21,54.7,2.32,-2.8,44.2,2.66,11.4
BBMom,-0.349,-1.69,1.93,3.61,53.3,2.17,-1.5,18.9,0.85,7.9
OrdBlock,-1.87,-11.34,12.22,23.56,53.6,2.2,-5.1,113.6,2.7,8.5
BrkVol,-0.139,-1.05,2.91,3.95,54.9,2.45,-2.5,12.1,0.99,13.4
ZScore_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZScore_30,0.139,-0.0,-0.0,0.0,8.3,inf,-0.0,0.1,inf,0.2
BBRevert_20,-0.053,0.02,0.06,0.04,45.1,3.5,-0.1,1.0,3.65,1.9
BBRevert_14,-5.156,-0.72,-0.06,0.66,52.5,2.17,-0.7,5.2,-0.2,5.2
OBVTrend,-0.273,-2.37,0.57,2.94,52.4,2.06,-1.3,23.2,0.35,5.2
MFI_14,-3.746,-0.47,-0.07,0.4,51.7,2.07,-0.4,4.3,-0.25,3.8
ForceIdx,-1.455,-6.96,7.02,13.98,53.6,2.16,-3.2,60.7,2.29,9.5
AccDist,-1.971,-7.14,3.53,10.67,53.2,2.13,-3.3,50.6,1.13,8.7
ROC_10,-1.527,-5.56,4.34,9.9,54.5,2.26,-2.7,42.6,1.97,9.5
ROC_20,-0.194,-3.59,0.73,4.32,52.4,2.05,-1.8,32.9,0.46,5.4
TSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMO_14,-0.917,-0.04,-0.02,0.03,48.4,2.38,-0.1,0.8,0.23,1.3
InsideBar,-0.552,-3.79,12.07,15.86,55.0,2.38,-3.9,51.7,2.99,12.6
FVG,-1.948,-14.2,15.67,29.87,53.1,2.13,-4.8,135.8,3.43,9.0
VolOsc,-0.815,-8.15,27.94,36.09,54.1,2.21,-6.7,127.9,4.02,11.6
UltOsc,-0.03,-0.0,-0.0,0.0,10.0,inf,-0.0,0.1,inf,0.4
MACDStoch,-3.483,-1.24,-0.22,1.02,50.8,1.86,-0.9,8.6,-0.33,4.9
RSI_BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADX_MACD,-0.688,-2.99,4.6,7.59,54.8,2.33,-3.3,25.6,1.36,12.2
TripleScreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScalpMTF,-1.719,-6.29,2.99,9.29,53.7,2.16,-2.5,47.1,1.34,8.1
MomBreakout_20,0.506,6.08,41.9,35.82,55.8,2.49,-5.3,98.3,6.97,15.0
MomBreakout_10,0.149,1.83,42.29,40.46,55.3,2.42,-5.9,120.1,6.61,13.8
TrendRev,-0.097,-0.22,0.72,0.93,55.1,2.46,-0.8,5.5,1.1,6.9
VolBreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SmartFlow,-0.595,-5.43,21.52,26.95,54.5,2.26,-5.6,86.3,3.69,12.8
AdaptRSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pullback,-0.084,-1.4,0.85,2.25,52.4,2.02,-1.2,16.4,0.85,5.6
DivConfl,-0.441,-0.01,0.0,0.01,42.7,inf,-0.0,0.4,inf,1.1
AO,-1.44,-3.74,2.34,6.08,54.2,2.29,-2.0,31.1,1.11,8.0
CCI_20,-6.888,-1.47,-0.12,1.36,51.0,1.95,-1.2,9.3,-0.08,6.0
CCI_14,-0.068,-0.71,2.11,2.82,52.7,2.16,-1.5,15.8,0.95,7.4
WillR_14,0.227,-1.69,1.66,3.35,52.6,2.06,-1.8,18.3,0.46,7.5
Squeeze,-2.3,-4.92,1.39,6.31,53.1,2.12,-1.8,48.6,1.09,5.3
CMF,-1.973,-7.41,4.09,11.5,53.9,2.23,-2.9,53.2,1.43,8.9
ElderRay,-0.85,-6.15,3.6,9.75,52.9,2.12,-2.7,54.5,1.59,7.4
HeikinAshi_3,-0.389,-2.6,15.58,18.18,55.0,2.4,-2.8,63.8,5.15,11.7
HeikinAshi_2,-1.019,-6.39,14.13,20.52,54.8,2.28,-3.6,72.4,3.94,11.7
ParSAR,-0.939,-5.18,6.21,11.39,53.9,2.21,-2.9,49.0,1.93,9.5
DualMom_12_48,-1.986,-5.2,0.96,6.16,52.6,2.05,-2.1,44.8,0.45,5.6
DualMom_6_24,-1.391,-6.18,2.58,8.76,53.3,2.13,-2.5,51.3,1.2,7.0
TrendStr_20,0.007,-4.63,1.01,5.64,50.7,1.97,-1.8,48.4,0.66,4.8
TrendStr_25,0.808,-2.78,0.86,3.63,50.5,1.91,-1.8,25.8,0.86,5.8
VolTrend,-0.83,-3.77,0.96,4.73,53.3,2.13,-1.9,30.2,0.58,6.4
AdaptCh_1x,-1.388,-7.54,8.63,16.17,54.2,2.24,-3.7,64.0,2.84,10.4
AdaptCh_15x,-1.581,-6.74,6.52,13.26,53.9,2.22,-3.2,58.2,2.29,9.4
MultiSig3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MultiSig4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SuperTrend_10_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SuperTrend_7_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HullMA_20_55,-0.775,-3.85,5.66,9.51,54.4,2.28,-2.9,38.1,2.07,10.3
HullMA_10_30,-0.678,-4.4,13.59,17.99,54.7,2.36,-3.6,59.0,3.79,12.5
Keltner_15,-0.095,-2.1,0.72,2.81,52.7,2.13,-1.3,20.4,0.51,5.7
PinBar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMAStack_50_100_200,0.719,-0.51,0.21,0.71,51.4,2.19,-0.9,6.0,0.4,4.9
EMAStack_20_50_100,-1.158,-2.14,0.17,2.31,53.1,2.12,-1.5,13.6,0.21,7.0
GoldCross,0.665,-0.35,0.22,0.57,50.4,2.12,-0.5,4.8,0.25,4.9
DynamicMA,0.191,-0.22,0.28,0.5,52.1,2.47,-0.5,4.0,0.19,5.1
MA300_1000,1.461,-1.7,0.29,1.99,51.4,2.02,-1.5,12.6,0.27,6.5
