name,net_sharpe,gross_sharpe,net_pct,gross_pct,fee_cost_pct,winrate,profit_factor,max_dd,t_month,n_trades,avg_fraction
"Turtle(en20,ex5,et100)",3.821,-0.562,-0.586,0.086,0.672,42.2,1.21,-1.9,11.4,475,3.54
"HA(cb2,et50,os45)",2.252,-0.687,-0.088,0.027,0.114,36.9,0.98,-0.9,3.4,141,2.03
"MultiEMA(e1=34,e2=89,e3=200,adx>30)",0.905,0.988,0.252,0.275,0.023,69.5,inf,-0.2,0.7,29,2.0
"WR(p28,os-85,et100)",0.886,0.974,0.549,0.603,0.054,56.6,2.98,-0.4,1.6,68,2.0
"WR(p21,os-85,et100)",0.863,0.964,0.551,0.616,0.065,54.7,2.57,-0.5,1.9,81,2.0
"Turtle(en15,ex7,et100)",0.754,0.946,3.034,3.805,0.771,45.4,1.9,-1.6,8.3,345,5.59
"WR(p21,os-80,et100)",0.743,0.849,0.473,0.541,0.068,55.2,3.06,-0.6,2.0,85,2.0
"CCI(p20,t100,et100)",0.707,0.836,0.386,0.457,0.07,50.0,2.0,-0.6,2.1,88,2.0
"Chandelier(p14,m3.0,et200)",0.686,0.796,0.427,0.495,0.068,42.7,1.69,-0.4,2.0,85,2.0
"SAR(af0.02,m0.2,et200)",0.664,0.784,0.766,0.905,0.139,50.8,1.85,-0.5,2.9,119,2.92
"SAR(af0.01,m0.15,et100)",0.645,0.741,1.55,1.782,0.232,46.5,1.65,-1.2,3.7,153,3.78
"MultiEMA(e1=34,e2=89,e3=200,adx>25)",0.641,0.746,0.2,0.233,0.033,58.9,2.59,-0.3,1.0,41,2.0
"WR(p28,os-80,et100)",0.589,0.683,0.365,0.423,0.058,54.6,2.2,-0.5,1.8,73,2.0
"MultiEMA(e1=34,e2=89,e3=200,adx>20)",0.572,0.666,0.274,0.319,0.045,57.9,1.68,-0.4,1.3,56,2.0
"Chandelier(p30,m3.0,et200)",0.558,0.68,0.324,0.396,0.071,46.0,1.74,-0.4,2.1,89,2.0
"HA(cb2,et100,os45)",0.547,0.643,0.624,0.733,0.11,46.2,1.77,-0.6,2.7,113,2.43
"SMC(sw7,h24)",0.497,0.651,0.388,0.509,0.121,49.0,1.49,-0.6,2.8,115,2.62
"SMC(sw7,h36)",0.497,0.651,0.388,0.509,0.121,49.0,1.49,-0.6,2.8,115,2.62
"SMC(sw7,h48)",0.497,0.651,0.388,0.509,0.121,49.0,1.49,-0.6,2.8,115,2.62
"Chandelier(p22,m3.0,et200)",0.483,0.6,0.292,0.363,0.071,43.4,1.58,-0.4,2.1,89,2.0
"CCI(p20,t100,et200)",0.461,0.577,0.276,0.346,0.07,51.8,1.51,-0.6,2.1,87,2.0
"MultiEMA(e1=50,e2=100,e3=200,adx>30)",0.444,0.489,0.058,0.063,0.006,56.7,inf,-0.1,0.2,9,1.6
"SAR(af0.01,m0.1,et100)",0.382,0.46,1.019,1.227,0.208,44.7,1.63,-1.2,3.5,147,3.54
"Chandelier(p14,m3.0,et100)",0.362,0.499,0.297,0.41,0.113,41.9,1.36,-0.5,2.8,118,2.39
"SAR(af0.01,m0.2,et50)",0.357,0.464,0.655,0.853,0.198,42.6,1.45,-0.9,4.3,179,2.76
"SMC(sw10,h24)",0.313,0.438,0.195,0.272,0.077,48.7,1.35,-0.5,2.3,97,1.99
