name,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,calmar,frac_pct
REG·MTF_sw3,7.4,129.47,172.77,43.29,63.6,4.69,-2.4,89.4,74.62,19.9
REG·MTF_sw5,7.739,142.32,185.89,43.57,64.0,4.83,-2.3,88.6,83.66,20.2
REG·MTF_sw7,7.561,138.93,183.42,44.49,64.2,4.69,-2.4,88.3,79.05,20.7
REG·AdaptMTF,7.789,144.61,188.31,43.7,64.1,4.87,-2.3,88.5,83.47,20.3
REG·StochRSI,-0.374,-2.24,11.04,13.28,55.7,2.48,-3.1,42.0,3.46,13.0
REG·Ichimoku,-0.555,-2.24,2.04,4.28,53.6,2.24,-1.5,25.4,1.15,6.9
REG·FibRet,-3.673,-11.45,2.1,13.54,51.7,2.0,-3.0,93.3,0.96,6.0
REG·MktStruct,0.919,0.04,0.04,0.01,75.3,inf,-0.0,0.4,inf,0.9
REG·MACD_RSI,-0.963,-4.45,6.08,10.52,54.3,2.26,-3.4,40.3,2.31,10.7
REG·LinearReg,-0.935,-4.6,7.61,12.21,54.7,2.32,-2.8,44.2,2.66,11.4
REG·BBMom,-0.349,-1.69,1.93,3.61,53.3,2.17,-1.5,18.9,0.85,7.9
REG·OrdBlock,-1.87,-11.34,12.22,23.56,53.6,2.2,-5.1,113.6,2.7,8.5
REG·BrkVol,-0.139,-1.05,2.91,3.95,54.9,2.45,-2.5,12.1,0.99,13.4
REG·SuperTrend10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REG·SuperTrend7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REG·VWAP24,-1.578,-9.71,10.69,20.4,53.7,2.21,-4.0,91.1,3.34,9.2
REG·HullMA20,-0.775,-3.85,5.66,9.51,54.4,2.28,-2.9,38.1,2.07,10.3
REG·Keltner20,-0.095,-2.1,0.72,2.81,52.7,2.13,-1.3,20.4,0.51,5.7
REG·PinBar50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REG·AwesomeOsc,-1.44,-3.74,2.34,6.08,54.2,2.29,-2.0,31.1,1.11,8.0
REG·CCI20,-6.888,-1.47,-0.12,1.36,51.0,1.95,-1.2,9.3,-0.08,6.0
REG·CCI14,-0.068,-0.71,2.11,2.82,52.7,2.16,-1.5,15.8,0.95,7.4
REG·WilliamsR14,0.227,-1.69,1.66,3.35,52.6,2.06,-1.8,18.3,0.46,7.5
REG·SqueezeMom,-2.3,-4.92,1.39,6.31,53.1,2.12,-1.8,48.6,1.09,5.3
REG·ChaikinMF,-1.973,-7.41,4.09,11.5,53.9,2.23,-2.9,53.2,1.43,8.9
REG·ElderRay,-0.85,-6.15,3.6,9.75,52.9,2.12,-2.7,54.5,1.59,7.4
REG·HeikinAshi,-0.389,-2.6,15.58,18.18,55.0,2.4,-2.8,63.8,5.15,11.7
REG·ParabolicSAR,-0.939,-5.18,6.21,11.39,53.9,2.21,-2.9,49.0,1.93,9.5
REG·EMAStack,0.719,-0.51,0.21,0.71,51.4,2.19,-0.9,6.0,0.4,4.9
REG·GoldCross,0.665,-0.35,0.22,0.57,50.4,2.12,-0.5,4.8,0.25,4.9
REG·DynamicMA,0.191,-0.22,0.28,0.5,52.1,2.47,-0.5,4.0,0.19,5.1
BASE·AdaptMTF_noR,8.003,153.29,198.06,44.77,64.2,4.91,-2.1,90.4,92.35,20.4
BASE·MTF_sw3_noR,7.701,139.25,184.01,44.76,63.7,4.75,-2.2,92.5,82.8,19.9
