name,net_sharpe,gross_sharpe,net_pct,gross_pct,fee_cost_pct,winrate,profit_factor,max_dd,t_month,n_trades,calmar,avg_frac_pct
"Chandelier(p14,m2.5,et50)",1129.687,-0.756,-1.36,0.0,1.36,39.3,1.02,-1.6,22.6,1373,-0.38,2.48
"WR(p21,os-80,et50)",6.683,-0.771,-1.08,0.12,1.21,47.1,1.02,-2.5,10.1,612,-0.28,4.94
"HA(cb2,et50,os45)",6.191,-0.837,-1.41,0.19,1.6,38.7,0.96,-2.0,16.3,991,-0.4,4.03
"EMA(8,21,50)",5.915,-0.548,-2.07,0.19,2.26,36.2,1.02,-2.4,25.3,1537,-0.2,3.68
"SAR(af0.01,m0.1,et50)",4.199,-0.323,-2.89,0.22,3.11,40.2,1.08,-2.7,24.1,1469,0.01,5.29
"Turtle(en15,ex7,et20)",3.059,-0.467,-4.63,0.71,5.34,37.9,1.05,-3.5,45.2,2750,0.01,4.85
"Turtle(en15,ex7,et50)",2.662,-0.375,-5.14,0.72,5.86,37.9,1.06,-4.0,45.0,2738,0.06,5.35
"HA(cb2,et14,os45)",1.678,-0.672,-2.7,1.08,3.78,41.6,1.06,-3.0,28.5,1731,-0.14,5.46
"WR(p21,os-80,et20)",1.627,-0.445,-0.87,0.24,1.1,50.0,1.1,-1.7,8.0,488,-0.14,5.65
"Chandelier(p14,m2.0,et50)",1.351,-0.188,-2.43,0.34,2.77,38.5,1.1,-2.6,26.6,1620,0.02,4.27
"ROC(p10,t0.5,et50)",1.266,-0.11,-4.68,0.41,5.09,42.4,1.08,-4.7,27.6,1680,-0.02,7.57
SMC(sw5),1.234,1.921,11.42,17.79,6.37,53.7,1.62,-4.3,16.7,1015,4.71,15.69
SMC(sw5),1.234,1.921,11.42,17.79,6.37,53.7,1.62,-4.3,16.7,1015,4.71,15.69
SMC(sw7),1.127,1.743,9.78,15.13,5.35,54.8,1.65,-4.0,14.0,851,4.54,15.72
SMC(sw10),0.981,1.41,10.05,14.44,4.39,54.1,1.64,-3.8,12.2,744,3.49,14.74
SMC(sw3),0.657,1.5,4.24,9.68,5.44,49.5,1.41,-2.9,22.1,1347,3.11,10.1
SMC(sw3),0.657,1.5,4.24,9.68,5.44,49.5,1.41,-2.9,22.1,1347,3.11,10.1
"Chandelier(p22,m2.0,et50)",0.419,-0.181,-1.78,0.77,2.55,36.3,1.07,-1.8,27.1,1646,-0.12,3.87
"MFI(p14,os20,et50)",0.199,-0.059,-0.34,0.1,0.45,51.2,1.33,-1.7,2.8,169,0.44,6.58
"SAR(af0.02,m0.2,et14)",0.134,-0.065,-2.55,1.23,3.79,38.6,1.13,-2.0,41.6,2533,0.28,3.74
"SAR(af0.01,m0.2,et20)",0.044,-0.11,-1.12,2.79,3.91,37.8,1.07,-2.3,33.5,2040,0.5,4.79
"MFI(p14,os25,et50)",0.039,-0.224,-0.09,0.52,0.61,48.5,1.19,-2.3,3.9,236,-0.07,6.47
"Supertrend(p10,m2.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Supertrend(p10,m3.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Supertrend(p14,m3.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Supertrend(p14,m2.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Supertrend(p7,m2.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Supertrend(p7,m3.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"HA(cb4,et20,os45)",-0.003,0.011,-0.66,2.19,2.85,47.1,1.27,-3.0,16.5,1003,0.29,7.09
"WR(p10,os-80,et20)",-0.007,-0.101,0.19,2.85,2.66,43.7,1.07,-3.0,16.3,994,0.32,6.69
"HA(cb2,et20,os45)",-0.021,-0.531,0.16,3.95,3.79,37.5,1.11,-2.9,25.2,1535,0.55,6.18
"SAR(af0.02,m0.3,et20)",-0.023,0.011,-2.14,1.06,3.2,37.7,1.12,-1.8,35.8,2176,0.25,3.68
"SAR(af0.01,m0.1,et20)",-0.038,-0.408,0.37,4.02,3.64,37.8,1.04,-2.1,33.5,2037,0.54,4.47
"MFI(p14,os20,et20)",-0.046,0.143,-0.08,0.26,0.34,52.3,1.33,-1.3,2.4,147,0.61,5.86
"Chandelier(p22,m2.0,et20)",-0.111,0.067,-1.85,1.11,2.96,31.6,1.08,-1.7,42.6,2594,0.13,2.86
"SAR(af0.02,m0.2,et20)",-0.116,0.041,-2.24,0.8,3.05,37.8,1.13,-1.8,35.7,2174,0.17,3.5
"MFI(p14,os25,et20)",-0.195,-0.427,0.32,0.69,0.38,50.2,1.11,-1.0,3.4,205,0.38,4.59
"SAR(af0.01,m0.15,et50)",-0.303,0.066,-3.18,0.7,3.87,40.8,1.08,-2.9,24.8,1510,0.33,6.41
"MFI(p21,os25,et50)",-0.995,-0.597,-0.13,-0.08,0.05,35.1,0.7,-0.2,1.1,65,-0.39,2.0
"CCI(p14,t150,et20)",-1.022,-0.618,-1.4,-0.84,0.55,47.2,1.1,-2.0,4.2,254,-0.41,5.44
"WR(p14,os-80,et50)",-1.14,-0.639,-2.15,-1.21,0.95,45.2,0.96,-2.3,14.7,895,-0.48,2.64
"ROC(p14,t1.0,et50)",-1.315,-0.489,-3.39,-1.26,2.13,44.7,1.07,-2.9,23.2,1411,-0.42,3.77
"HA(cb3,et50,os45)",-1.391,-0.518,-2.06,-0.77,1.29,40.9,1.04,-2.4,11.9,723,-0.38,4.47
"HA(cb3,et20,os45)",-1.426,-0.694,-2.97,-1.45,1.52,42.8,1.08,-2.1,20.6,1256,-0.63,3.03
"MFI(p7,os20,et20)",-1.439,-0.949,-1.62,-1.07,0.55,40.4,0.88,-1.8,10.8,659,-0.6,2.09
"MultiEMA(21/55/100,adx>25)",-1.47,-1.092,-3.55,-2.63,0.91,50.0,1.04,-3.1,11.8,716,-0.77,3.19
"CCI(p20,t100,et50)",-1.473,-0.654,-3.06,-1.36,1.7,43.5,0.99,-3.8,10.8,659,-0.47,6.45
"HA(cb3,et14,os45)",-1.485,-0.736,-3.11,-1.54,1.57,45.8,1.07,-2.2,23.9,1451,-0.56,2.7
"MultiEMA(8/21/50,adx>25)",-1.514,-0.724,-2.52,-1.21,1.31,48.8,1.12,-2.3,17.9,1086,-0.56,3.03
"Stoch(k14,d3,os20)",-1.529,-0.873,-3.66,-2.09,1.57,52.5,0.96,-3.2,23.3,1415,-0.64,2.77
"Chandelier(p14,m3.0,et50)",-1.531,-0.706,-2.87,-1.32,1.55,42.0,0.99,-2.3,17.4,1059,-0.56,3.65
"SAR(af0.02,m0.2,et50)",-1.569,-0.618,-3.62,-1.43,2.19,39.6,1.07,-3.2,26.5,1611,-0.41,3.4
"Stoch(k14,d5,os20)",-1.576,-0.919,-2.58,-1.5,1.07,49.9,0.91,-2.2,16.4,1000,-0.66,2.69
"Stoch(k14,d3,os25)",-1.628,-0.95,-3.25,-1.9,1.36,55.6,1.01,-2.9,28.6,1741,-0.62,1.95
"WR(p14,os-80,et20)",-1.645,-0.832,-1.97,-1.0,0.98,42.7,0.98,-2.0,11.7,710,-0.67,3.43
"Stoch(k5,d3,os20)",-1.663,-1.19,-1.97,-1.41,0.56,52.9,0.88,-1.6,21.0,1275,-0.82,1.1
"CCI(p20,t100,et20)",-1.69,-0.736,-1.94,-0.84,1.09,46.5,1.07,-2.6,9.6,586,-0.57,4.66
"CCI(p20,t150,et50)",-1.698,-0.995,-1.3,-0.76,0.54,48.0,1.07,-1.9,4.3,260,-0.53,5.17
"MultiEMA(13/34/89,adx>25)",-1.721,-0.787,-1.82,-0.83,0.99,49.8,1.06,-2.1,15.1,917,-0.56,2.7
