name,group,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct
"MTF(sw3,e50)+RM1x2+f40","MTF(sw3,e50)",4.98,93.69,123.92,30.23,48.3,1.88,-3.4,47.9,5833,36.69,25.9
"MTF(sw3,e50)+RM1x2+f60","MTF(sw3,e50)",5.207,115.7,147.66,31.96,48.3,1.88,-3.5,47.9,5833,42.14,27.4
"MTF(sw3,e50)+RM1x3+f40","MTF(sw3,e50)",4.073,68.47,89.06,20.59,39.6,1.9,-3.2,38.4,4668,27.66,22.1
"MTF(sw3,e50)+RM1x3+f60","MTF(sw3,e50)",4.186,79.58,101.09,21.51,39.6,1.9,-3.2,38.4,4668,30.49,23.0
"MTF(sw3,e50)+RM15x2+f40","MTF(sw3,e50)",3.894,80.67,101.98,21.3,48.6,1.8,-4.4,34.8,4229,22.78,25.2
"MTF(sw3,e50)+RM15x2+f60","MTF(sw3,e50)",4.098,104.24,127.22,22.98,48.6,1.8,-4.5,34.8,4229,27.51,27.2
"MTF(sw3,e50)+RM15x3+f40","MTF(sw3,e50)",3.403,70.59,87.47,16.87,44.1,1.88,-5.1,28.6,3479,17.42,24.3
"MTF(sw3,e50)+RM15x3+f60","MTF(sw3,e50)",3.546,88.71,106.79,18.07,44.1,1.88,-5.2,28.6,3479,20.6,26.0
"MTF(sw3,e50)+RM2x2+f40","MTF(sw3,e50)",3.408,81.99,100.43,18.44,50.9,1.83,-5.6,28.8,3498,17.44,26.4
"MTF(sw3,e50)+RM2x2+f60","MTF(sw3,e50)",3.584,108.01,128.17,20.16,50.9,1.83,-5.7,28.8,3498,21.78,28.8
"MTF(sw5,e50)+RM1x2+f40","MTF(sw5,e50)",4.611,83.22,111.81,28.6,48.1,1.85,-2.9,45.2,5495,36.47,26.0
"MTF(sw5,e50)+RM1x2+f60","MTF(sw5,e50)",4.81,101.54,131.63,30.09,48.1,1.85,-3.0,45.2,5495,41.43,27.4
"MTF(sw5,e50)+RM1x3+f40","MTF(sw5,e50)",3.567,55.99,75.1,19.11,38.8,1.82,-3.4,35.7,4347,20.83,22.0
"MTF(sw5,e50)+RM1x3+f60","MTF(sw5,e50)",3.69,65.4,85.31,19.91,38.8,1.82,-3.5,35.7,4347,22.62,22.9
"MTF(sw5,e50)+RM15x2+f40","MTF(sw5,e50)",3.474,67.09,86.74,19.65,48.3,1.76,-4.8,31.5,3828,18.07,25.7
"MTF(sw5,e50)+RM15x2+f60","MTF(sw5,e50)",3.691,87.42,108.66,21.24,48.3,1.76,-4.9,31.5,3828,22.16,27.7
"MTF(sw5,e50)+RM15x3+f40","MTF(sw5,e50)",3.036,59.21,74.59,15.38,44.1,1.83,-5.6,25.8,3140,14.06,24.5
"MTF(sw5,e50)+RM15x3+f60","MTF(sw5,e50)",3.192,75.13,91.61,16.48,44.1,1.83,-5.7,25.8,3140,16.63,26.2
"MTF(sw5,e50)+RM2x2+f40","MTF(sw5,e50)",2.981,67.16,83.77,16.61,51.1,1.8,-6.3,25.6,3113,12.73,26.7
"MTF(sw5,e50)+RM2x2+f60","MTF(sw5,e50)",3.192,93.33,111.75,18.42,51.1,1.8,-6.7,25.6,3113,15.84,29.6
"MTF(sw5,e100)+RM1x2+f40","MTF(sw5,e100)",3.908,55.65,79.36,23.71,47.4,1.8,-2.7,40.0,4872,28.65,24.3
"MTF(sw5,e100)+RM1x2+f60","MTF(sw5,e100)",3.99,61.14,85.5,24.36,47.4,1.8,-2.8,40.0,4872,29.74,25.0
"MTF(sw5,e100)+RM1x3+f40","MTF(sw5,e100)",2.924,33.76,48.67,14.92,37.7,1.74,-3.1,31.8,3868,15.48,19.3
"MTF(sw5,e100)+RM1x3+f60","MTF(sw5,e100)",2.947,35.37,50.53,15.16,37.7,1.74,-3.1,31.8,3868,15.94,19.6
