name,net_sharpe,gross_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct,sl_hits,tp_hits
"SAR(af0.02,et50)+RM15x2",15.094,-0.362,-3.2,0.08,3.27,35.8,1.06,-1.7,30.6,1859,-0.13,4.4,198,110
"HA(cb2,et50)+RM1x3",6.874,-0.214,-1.7,0.05,1.76,28.6,1.09,-0.8,20.5,1246,-0.06,3.5,149,58
"WR(p14,et50)+RM15x3",4.782,-0.691,-1.34,0.19,1.54,34.0,1.0,-1.0,17.7,1076,0.14,3.6,127,38
Turtle(en15)+RM15x3,3.91,-0.304,-4.4,0.34,4.74,32.6,1.06,-1.8,56.5,3435,0.15,3.5,323,107
SMC(sw5)+RM1x2,2.421,4.571,19.45,36.72,17.27,47.2,1.82,-2.4,35.7,2172,20.45,19.9,226,201
Chandelier(p22)+RM1x3,2.364,-0.345,-1.8,0.26,2.07,29.4,1.05,-1.1,21.0,1277,-0.07,4.0,172,61
SMC(sw10)+RM1x2,2.223,4.224,17.49,33.22,15.74,47.1,1.81,-2.5,30.2,1837,13.45,21.4,192,170
SMC(sw7)+RM1x2,2.192,4.283,17.13,33.49,16.35,47.5,1.83,-2.2,32.2,1960,15.59,20.9,203,182
SMC(sw5)+RM15x2,2.183,3.541,19.6,31.79,12.19,47.6,1.77,-3.0,26.0,1582,13.21,19.3,151,132
SMC(sw5)+RM1x3,2.017,3.717,14.08,25.94,11.86,39.0,1.82,-2.3,29.2,1775,11.7,16.7,211,125
"SAR(af0.02,et50)+RM1x2",2.007,-0.291,-2.81,0.41,3.21,35.5,1.07,-1.2,31.7,1929,0.15,4.2,238,133
"SAR(af0.01,et50)+RM15x3",1.974,-0.2,-2.51,0.25,2.76,32.2,1.04,-2.0,27.4,1666,-0.06,4.1,194,58
Chandelier(p22)+RM15x2,1.84,-0.354,-1.58,0.3,1.89,37.1,1.04,-1.4,20.8,1267,-0.13,3.7,138,74
SMC(sw5)+RM15x3,1.707,2.77,12.46,20.21,7.75,41.7,1.69,-2.3,22.2,1352,8.67,14.3,142,71
SMC(sw3)+RM1x2,1.646,4.126,9.83,24.63,14.81,45.5,1.66,-1.7,40.7,2476,14.73,14.9,260,219
SMC(sw7)+RM15x3,1.644,2.599,11.66,18.44,6.77,42.0,1.72,-2.9,19.2,1170,6.59,14.5,124,64
SMC(sw7)+RM15x2,1.637,2.934,11.53,20.66,9.13,47.3,1.68,-3.2,22.8,1387,7.05,16.5,135,115
Chandelier(p22)+RM1x2,1.625,-0.21,-2.25,0.29,2.54,35.5,1.02,-1.5,21.1,1281,-0.03,5.0,160,86
SMC(sw10)+RM15x2,1.611,2.837,11.93,21.02,9.08,47.6,1.69,-3.6,20.7,1258,6.17,18.1,122,104
"SAR(af0.01,et20)+RM15x2",1.535,-0.226,-2.74,0.4,3.14,35.7,1.05,-1.4,34.8,2120,0.14,3.7,214,116
SMC(sw7)+RM2x3,1.469,2.124,12.74,18.41,5.67,46.2,1.74,-2.9,16.5,1002,6.86,14.2,90,39
SMC(sw5)+RM2x3,1.469,2.253,11.9,18.25,6.36,44.7,1.63,-2.3,19.7,1197,7.53,13.3,108,43
SMC(sw7)+RM1x3,1.468,3.128,8.6,18.33,9.73,38.4,1.74,-2.5,26.1,1590,8.55,15.3,192,112
SMC(sw10)+RM1x3,1.455,3.076,8.23,17.41,9.18,38.2,1.73,-2.3,24.1,1467,8.64,15.6,177,102
SMC(sw3)+RM15x2,1.41,3.013,9.17,19.59,10.42,44.8,1.55,-2.3,32.1,1950,8.74,13.4,186,147
SMC(sw10)+RM15x3,1.38,2.286,9.93,16.46,6.52,41.7,1.69,-2.7,17.4,1057,5.75,15.4,113,58
Chandelier(p22)+RM2x3,1.324,-0.516,-1.25,0.49,1.73,36.6,0.99,-1.3,20.4,1239,-0.21,3.5,109,30
SMC(sw3)+RM1x3,1.312,3.289,7.0,17.55,10.55,36.9,1.63,-1.8,34.8,2119,9.66,12.4,256,137
SMC(sw10)+RM2x3,1.303,1.887,10.57,15.31,4.74,45.6,1.67,-2.7,14.5,883,4.75,13.4,81,35
"CCI(p20,et50)+RM1x2",0.961,-0.403,-1.13,0.48,1.61,38.2,1.09,-1.0,13.5,821,0.12,4.9,99,57
"HA(cb2,et50)+RM2x3",0.884,-0.226,-0.87,0.22,1.1,33.8,1.1,-0.9,17.7,1078,-0.02,2.5,82,25
SMC(sw3)+RM15x3,0.869,2.265,4.14,10.79,6.65,39.5,1.47,-2.0,28.3,1721,5.29,9.7,178,78
"HA(cb2,et20)+RM15x2",0.781,-0.214,-2.13,0.58,2.71,33.0,1.1,-1.2,28.4,1730,0.61,3.9,123,79
SMC(sw3)+RM2x3,0.712,1.701,4.14,9.9,5.76,42.1,1.42,-2.1,25.4,1547,4.33,9.3,131,48
Chandelier(p14)+RM1x3,0.664,-0.134,-2.59,0.52,3.11,28.8,1.11,-1.1,32.7,1992,0.22,3.9,254,94
