name,sharpe,winrate,return,t_month,max_dd,n_trades,n_pairs
"MomScalp(s3,vm1.2,et21)",7.738,54.21,0.09,33.0,-0.02,85,5
"MomScalp(s3,vm1.2,et21)",6.326,48.93,0.145,52.0,-0.06,133,5
"MomScalp(s3,vm1.5,et21)",6.114,54.56,0.096,38.0,-0.03,97,5
"MomScalp(s3,vm1.2,et13)",6.065,50.14,0.153,55.0,-0.06,140,5
"MomScalp(s3,vm1.2,et34)",4.776,47.72,0.131,47.0,-0.07,121,5
"MomScalp(s3,vm1.0,et21)",4.74,48.95,0.154,65.0,-0.07,168,5
"MomScalp(s3,vm1.2,et21)",3.955,48.79,0.137,78.0,-0.07,201,5
"MomScalp(s4,vm1.2,et21)",2.457,50.67,0.022,21.0,-0.02,54,5
"DualThrust(n20,k0.6,et21)",1.647,42.39,0.02,28.0,-0.05,73,5
"RSIScalp(p7,os38)",1.432,52.75,0.033,45.0,-0.05,116,5
"DualThrust(n30,k0.5,et21)",0.913,38.64,0.007,26.0,-0.06,67,5
"CCIScalp(p10,thr50,et13)",0.879,47.66,0.088,233.0,-0.15,598,5
"DualThrust(n20,k0.4,et21)",0.875,46.27,0.018,76.0,-0.07,194,5
"CCIScalp(p10,thr50,et8)",0.816,48.49,0.074,303.0,-0.18,779,5
"DualThrust(n15,k0.5,et21)",0.426,44.8,0.021,66.0,-0.06,170,5
"DualThrust(n20,k0.5,et8)",0.357,43.91,0.007,44.0,-0.06,113,5
"DualThrust(n20,k0.5,et13)",0.357,43.91,0.007,44.0,-0.06,113,5
"DualThrust(n20,k0.5,et34)",0.357,43.91,0.007,44.0,-0.06,113,5
"DualThrust(n20,k0.5,et21)",0.357,43.91,0.007,44.0,-0.06,113,5
"RSIScalp(p7,os42)",0.009,49.94,0.027,89.0,-0.14,229,5
"MACDZero(f5,s13,t21)",-0.052,46.52,0.016,262.0,-0.1,673,5
"EMAScalp(f5,s13,t34)",-0.174,46.07,0.021,181.0,-0.1,464,5
"EMAScalp(f2,s5,t13)",-0.561,41.04,0.01,414.0,-0.09,1064,5
"StochScalp(k7,d3,os15)",-0.64,42.53,0.015,362.0,-0.1,930,5
"MACDZero(f5,s13,t21)",-0.934,43.92,-0.0,308.0,-0.1,790,5
"MACDZero(f5,s13,t8)",-1.071,43.09,-0.012,390.0,-0.14,1001,5
"MACDZero(f5,s13,t13)",-1.11,43.78,-0.018,335.0,-0.11,861,5
"RSIScalp(p7,os42)",-1.148,40.13,-0.024,32.0,-0.06,83,5
"EMAScalp(f4,s9,t21)",-1.238,46.02,-0.02,259.0,-0.1,666,5
"EMAScalp(f3,s8,t8)",-1.25,43.61,-0.026,390.0,-0.11,1002,5
"EMAScalp(f3,s8,t21)",-1.328,43.63,-0.023,385.0,-0.11,988,5
"RSIScalp(p7,os42)",-1.422,51.0,-0.07,110.0,-0.2,283,5
"RSIScalp(p7,os42)",-1.503,44.57,-0.029,67.0,-0.1,172,5
"MACDZero(f5,s13,t34)",-1.543,44.99,-0.019,281.0,-0.13,721,5
"EMAScalp(f3,s8,t13)",-1.67,44.05,-0.031,363.0,-0.11,933,5
"CCIScalp(p10,thr50,et21)",-1.7,46.84,-0.004,206.0,-0.17,529,5
"PAScalp(et34,mr0.3)",-1.777,45.75,-0.053,186.0,-0.13,477,5
"EMAScalp(f3,s10,t21)",-1.87,45.06,-0.03,281.0,-0.1,722,5
"StochScalp(k5,d3,os20)",-1.951,41.48,-0.03,314.0,-0.09,806,5
"MACDZero(f5,s13,t55)",-1.972,45.76,-0.027,269.0,-0.12,690,5
