scenario,name,net_pct,net_sharpe,winrate,pf,max_dd,calmar
TENDENCIA_FUERTE,Ensemble3(2/3),147.21,7.801,64.1,4.84,-2.3,85.77
TENDENCIA_FUERTE,MTF_sw5,142.32,7.739,64.0,4.83,-2.3,83.66
TENDENCIA_FUERTE,Portfolio-All(3),142.04,7.738,64.0,4.83,-2.3,83.51
TENDENCIA_FUERTE,MTF_sw3(v2),140.66,7.719,63.8,4.79,-2.2,87.49
TENDENCIA_FUERTE,Ensemble5(3/5),140.08,7.631,64.0,4.8,-2.3,82.27
TENDENCIA_FUERTE,MTF_sw3,139.25,7.701,63.7,4.75,-2.2,82.8
TENDENCIA_FUERTE,MTF_sw7,138.93,7.561,64.2,4.69,-2.4,79.05
TENDENCIA_FUERTE,MTF_sw10_e50,135.53,7.384,64.0,4.56,-2.5,73.95
TENDENCIA_FUERTE,REG[light]·MTF_sw3,108.44,5.053,48.4,1.89,-3.4,39.35
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM2x2+f60",108.01,3.584,50.9,1.83,-5.7,21.78
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM15x2+f60",104.24,4.098,48.6,1.8,-4.5,27.51
TENDENCIA_FUERTE,REG[light]·MTF_sw5,103.78,5.882,63.3,3.85,-3.1,48.57
TENDENCIA_FUERTE,MTF_sw5_e100,96.25,6.807,63.7,4.74,-2.0,68.5
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM1x2+f40",93.69,4.98,48.3,1.88,-3.4,36.69
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM2x2+f60",93.33,3.192,51.1,1.8,-6.7,15.84
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM15x3+f60",88.71,3.546,44.1,1.88,-5.2,20.6
TENDENCIA_FUERTE,REG[standard]·MTF_sw3,88.31,4.525,48.4,1.89,-3.6,30.65
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM15x2+f60",87.42,3.691,48.3,1.76,-4.9,22.16
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM1x2+f60",86.1,4.597,47.9,1.84,-3.4,32.69
TENDENCIA_FUERTE,REG[standard]·MTF_sw5,85.5,5.475,63.6,3.92,-2.9,41.94
TENDENCIA_FUERTE,MTF_sw3_e100,83.41,6.356,63.1,4.56,-2.0,59.75
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM1x2+f40",83.22,4.611,48.1,1.85,-2.9,36.47
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM2x2+f40",81.99,3.408,50.9,1.83,-5.6,17.44
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM1x2+f60",81.62,4.554,48.1,1.86,-3.1,35.55
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM15x2+f40",80.67,3.894,48.6,1.8,-4.4,22.78
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM1x3+f60",79.58,4.186,39.6,1.9,-3.2,30.49
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM15x3+f60",75.13,3.192,44.1,1.83,-5.7,16.63
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM1x2+f40",74.92,4.464,47.9,1.84,-3.4,29.52
TENDENCIA_FUERTE,REG[strict]·MTF_sw5,71.86,4.086,49.5,1.97,-3.6,26.76
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM1x2+f40",71.83,4.434,48.1,1.86,-3.0,32.93
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM15x3+f40",70.59,3.403,44.1,1.88,-5.1,17.42
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM1x3+f40",68.47,4.073,39.6,1.9,-3.2,27.66
TENDENCIA_FUERTE,REG[strict]·MTF_sw3,67.94,4.005,49.1,1.95,-3.2,27.62
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM2x2+f40",67.16,2.981,51.1,1.8,-6.3,12.73
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM15x2+f40",67.09,3.474,48.3,1.76,-4.8,18.07
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM1x3+f60",65.4,3.69,38.8,1.82,-3.5,22.62
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM1x2+f60",64.88,4.278,48.2,1.87,-2.8,31.66
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM15x2+f60",64.76,3.216,47.1,1.68,-4.8,16.38
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM2x2+f60",63.01,2.637,50.1,1.72,-7.8,10.07
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM1x2+f60",61.14,3.99,47.4,1.8,-2.8,29.74
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM1x2+f40",60.51,4.227,48.2,1.87,-2.8,30.66
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM2x2+f60",60.06,2.724,50.5,1.73,-6.3,11.81
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM15x2+f60",59.64,3.063,47.1,1.68,-4.4,15.94
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM15x3+f40",59.21,3.036,44.1,1.83,-5.6,14.06
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM1x3+f60",58.88,3.517,38.6,1.8,-4.1,19.43
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM15x3+f60",58.73,2.824,43.4,1.79,-5.9,12.49
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM1x3+f40",55.99,3.567,38.8,1.82,-3.4,20.83
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM1x2+f40",55.65,3.908,47.4,1.8,-2.7,28.65
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM1x3+f60",54.87,3.397,38.6,1.8,-3.9,17.45
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM15x2+f60",52.85,3.065,47.3,1.69,-4.2,16.77
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM15x3+f60",51.6,2.661,43.4,1.78,-5.6,11.73
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM2x2+f60",51.02,2.395,50.0,1.69,-6.8,9.31
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM1x3+f40",50.87,3.398,38.6,1.8,-4.1,17.6
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM15x2+f40",50.22,3.004,47.1,1.68,-4.8,13.63
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM15x2+f60",50.06,2.987,47.4,1.71,-3.8,15.33
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM1x3+f40",48.64,3.31,38.6,1.8,-3.9,15.95
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM2x2+f40",47.85,2.585,50.5,1.73,-5.9,10.66
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM2x2+f40",47.7,2.479,50.1,1.72,-7.6,8.15
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM15x3+f40",47.47,2.69,43.4,1.79,-5.8,10.85
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM15x2+f40",45.89,2.865,47.1,1.68,-4.3,13.27
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM1x3+f60",44.8,3.307,38.7,1.82,-3.5,16.2
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM15x2+f40",44.69,2.946,47.3,1.69,-4.2,14.81
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM15x3+f60",44.35,2.562,43.0,1.73,-4.9,12.54
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM2x2+f60",44.18,2.335,50.6,1.73,-6.4,8.46
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM15x3+f60",42.98,2.577,43.6,1.79,-5.3,10.82
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM1x3+f40",42.72,3.283,38.7,1.82,-3.5,15.69
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM15x2+f40",41.94,2.867,47.4,1.71,-3.7,14.06
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM15x3+f40",41.37,2.528,43.4,1.78,-5.5,9.96
TENDENCIA_FUERTE,"MTF(sw10,e50)+RM2x2+f40",38.74,2.247,50.0,1.69,-6.6,7.7
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM15x3+f40",38.74,2.484,43.0,1.73,-4.9,11.5
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM1x2+f50",38.22,3.395,48.7,1.92,-2.9,21.3
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM1x2+f50",38.17,3.28,48.9,1.93,-2.9,20.88
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM15x3+f40",37.45,2.507,43.6,1.79,-5.2,9.81
TENDENCIA_FUERTE,"MTF(sw10,e100)+RM2x2+f40",35.64,2.24,50.6,1.73,-6.0,7.77
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM1x3+f60",35.37,2.947,37.7,1.74,-3.1,15.94
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM1x3+f40",33.76,2.924,37.7,1.74,-3.1,15.48
