name,sharpe,winrate,return,t_month,max_dd,n_trades,n_pairs
"MFI(p14,os20,et50)",1.939,73.0,0.08,2.6,-0.04,27,5
"Keltner(ema20,m2.0,cb3)",1.457,54.44,0.16,12.2,-0.19,125,5
"MFI(p14,os20,et50)",1.375,62.0,0.04,1.8,-0.03,18,5
"MFI(p14,os25,et50)",1.202,64.96,0.07,3.8,-0.07,39,5
"WR(p28,os-80,et50)",1.133,59.43,0.06,6.9,-0.1,71,5
"HA(cb2,et100,os45)",0.912,54.68,0.12,20.1,-0.65,206,5
"MFI(p21,os25,et50)",0.88,53.33,0.02,0.9,-0.02,9,5
"MFI(p14,os25,et50)",0.865,55.33,0.02,2.9,-0.06,30,5
"VWAP(w96,bp0.001)",0.854,57.28,0.06,8.2,-0.13,84,5
"Keltner(ema20,m2.0,cb1)",0.803,51.82,0.32,25.6,-0.73,263,5
"Keltner(ema10,m1.5,cb1)",0.716,52.42,0.57,24.1,-0.79,248,5
"MFI(p14,os25,et100)",0.702,55.93,0.04,6.2,-0.11,64,5
"MFI(p14,os25,et30)",0.681,62.33,0.04,2.2,-0.06,23,5
"VWAP(w24,bp0.002)",0.315,36.97,0.08,58.2,-0.41,598,5
"HA(cb2,et50,os45)",0.315,47.62,0.19,18.5,-0.49,190,5
"SAR(af0.02,max0.2,et30)",0.25,54.54,0.54,33.6,-1.1,345,5
"ROC(p12,thr1.5,sm3)",0.224,50.28,0.23,28.3,-0.48,291,5
"ROC(p12,thr1.5,sm3)",0.187,51.55,0.42,31.3,-0.77,322,5
"Keltner(ema20,m2.5,cb1)",0.12,49.07,0.01,14.0,-0.31,144,5
"VWAP(w48,bp0.002)",0.1,32.31,0.05,52.5,-0.42,539,5
"Keltner(ema30,m2.0,cb1)",0.06,50.75,0.35,36.5,-0.76,375,5
"Keltner(ema20,m2.0,cb2)",0.035,50.99,-0.02,17.7,-0.39,182,5
"ROC(p12,thr1.5,sm1)",0.005,50.73,0.02,36.6,-0.71,376,5
"ROC(p12,thr2.0,sm3)",-0.009,50.41,-0.02,24.0,-0.44,247,5
"ROC(p12,thr1.5,sm5)",-0.035,51.26,0.03,25.5,-0.36,262,5
"HA(cb2,et200,os45)",-0.066,54.25,0.1,19.6,-0.49,201,5
"MACDHist(f5,s13,sb2)",-0.19,56.43,0.1,44.5,-0.47,457,5
"BB(p30,std2.0,os40)",-0.3,52.9,0.08,38.3,-0.39,394,5
"ROC(p12,thr1.0,sm3)",-0.326,51.41,-0.1,31.6,-0.59,325,5
"Keltner(ema50,m2.0,cb1)",-0.471,50.61,-0.21,48.1,-1.37,494,5
"SAR(af0.02,max0.2,et200)",-0.642,52.41,-0.03,22.9,-0.43,235,5
"ZScore(p30,z2.0,zx1.0)",-0.753,55.52,-0.02,42.8,-0.87,440,5
"Keltner(ema20,m1.5,cb1)",-0.762,46.75,-0.16,42.1,-1.26,433,5
"Keltner(ema15,m1.5,cb1)",-0.814,48.31,-0.19,34.5,-0.89,354,5
"SAR(af0.02,max0.2,et50)",-0.817,52.86,-0.11,29.0,-0.75,298,5
"MFI(p10,os25,et50)",-0.834,48.17,-0.06,10.0,-0.2,103,5
"WR(p21,os-80,et50)",-0.854,49.66,-0.06,9.6,-0.18,99,5
"SAR(af0.03,max0.3,et50)",-0.876,50.81,-0.03,32.7,-0.77,336,5
"MACDHist(f8,s21,sb2)",-0.918,49.36,-0.23,44.8,-0.67,460,5
"SAR(af0.02,max0.1,et50)",-0.952,54.01,-0.03,27.1,-0.59,278,5
"ROC(p12,thr1.5,sm3)",-1.003,48.45,0.12,23.1,-0.41,237,5
"HA(cb4,et50,os45)",-1.006,48.35,-0.08,8.2,-0.2,84,5
"SAR(af0.02,max0.2,et100)",-1.062,54.11,-0.41,26.0,-1.12,267,5
"SAR(af0.02,max0.2,et80)",-1.062,52.18,-0.28,27.6,-0.71,284,5
"HA(cb2,et30,os45)",-1.098,40.03,-0.36,22.3,-0.76,229,5
"VWAP(w96,bp0.002)",-1.128,32.7,-0.07,29.7,-0.26,305,5
"VWAP(w96,bp0.003)",-1.13,32.51,-0.12,26.0,-0.35,267,5
"HA(cb2,et50,os35)",-1.139,45.82,-0.25,46.4,-0.64,477,5
"WR(p14,os-80,et30)",-1.159,48.52,-0.2,14.3,-0.39,147,5
"HA(cb2,et50,os40)",-1.163,45.55,-0.16,33.7,-0.49,346,5
"ROC(p6,thr1.5,sm3)",-1.188,49.87,-0.26,29.8,-0.99,306,5
"SAR(af0.04,max0.2,et50)",-1.192,50.08,-0.25,35.6,-0.94,366,5
"BB(p20,std2.0,os30)",-1.26,49.35,-0.11,41.3,-0.4,424,5
"SAR(af0.01,max0.1,et50)",-1.286,47.57,0.05,26.5,-0.48,272,5
"SAR(af0.01,max0.2,et50)",-1.326,48.49,-0.11,26.6,-0.5,273,5
"MFI(p7,os25,et50)",-1.381,48.73,-0.19,15.3,-0.39,157,5
"WR(p14,os-75,et50)",-1.391,49.92,-0.25,18.2,-0.4,187,5
"MACDHist(f8,s21,sb3)",-1.417,48.52,-0.18,29.7,-0.35,305,5
"Keltner(ema20,m1.0,cb1)",-1.424,47.31,0.03,64.4,-1.65,662,5
"WR(p14,os-70,et50)",-1.429,50.4,-0.13,19.7,-0.35,202,5
"VWAP(w48,bp0.001)",-1.478,35.04,-0.19,32.9,-0.58,338,5
"ZScore(p50,z2.0,zx0.5)",-1.481,48.31,-0.14,24.9,-0.28,256,5
"WR(p14,os-80,et50)",-1.575,49.79,-0.25,17.1,-0.41,176,5
"WR(p14,os-85,et50)",-1.6,50.49,-0.33,14.7,-0.49,151,5
"VWAP(w96,bp0.002)",-1.605,34.93,0.03,17.1,-0.27,176,5
"HA(cb3,et100,os45)",-1.737,48.57,-0.17,14.8,-0.33,152,5
"ZScore(p30,z2.0,zx0.5)",-1.739,49.56,-0.34,34.6,-0.72,355,5
"MACDHist(f12,s26,sb4)",-1.767,49.26,-0.17,22.8,-0.37,234,5
"ZScore(p30,z2.5,zx0.5)",-1.77,44.41,-0.19,22.5,-0.31,231,5
"VWAP(w48,bp0.003)",-1.777,31.66,-0.26,42.1,-0.43,433,5
"ROC(p9,thr1.5,sm3)",-1.922,46.59,-0.35,30.7,-0.72,315,5
"WR(p10,os-80,et50)",-1.929,47.27,-0.33,23.6,-0.65,242,5
"MACDHist(f12,s26,sb3)",-1.98,44.88,-0.23,30.7,-0.48,315,5
"ZScore(p20,z2.0,zx0.5)",-2.0,53.66,-0.37,49.3,-0.8,506,5
"ZScore(p30,z2.0,zx0.3)",-2.023,48.17,-0.26,31.3,-0.49,322,5
"ZScore(p30,z2.0,zx0.5)",-2.028,48.92,-0.23,35.8,-0.36,368,5
"MACDHist(f12,s26,sb2)",-2.06,46.04,-0.78,47.7,-1.46,490,5
"HA(cb3,et50,os45)",-2.076,46.94,-0.17,13.7,-0.28,141,5
"VWAP(w192,bp0.002)",-2.076,32.7,-0.13,14.3,-0.28,147,5
"ZScore(p30,z2.0,zx0.5)",-2.077,49.19,-0.51,31.8,-0.92,327,5
"ZScore(p30,z1.5,zx0.5)",-2.099,55.95,-0.71,48.7,-1.04,500,5
"VWAP(w72,bp0.002)",-2.154,31.08,-0.43,25.3,-0.68,260,5
"WR(p14,os-80,et100)",-2.154,48.45,-0.25,19.1,-0.39,196,5
"ROC(p24,thr1.5,sm3)",-2.199,46.77,-0.3,25.9,-0.51,266,5
"HA(cb1,et50,os45)",-2.253,37.27,-0.33,26.1,-0.57,268,5
"BB(p20,std1.5,os40)",-2.255,52.81,-0.38,63.4,-0.61,651,5
"MACDHist(f5,s13,sb3)",-2.442,46.43,-0.24,21.3,-0.33,219,5
"BB(p20,std2.0,os35)",-2.487,47.54,-0.33,46.2,-0.46,475,5
"MACDHist(f12,s26,sb2)",-2.506,45.28,-0.58,35.9,-0.85,369,5
"BB(p20,std1.8,os40)",-2.565,50.83,-0.36,53.4,-0.5,549,5
"ZScore(p20,z1.5,zx0.5)",-2.712,53.72,-0.41,65.3,-0.66,671,5
"MFI(p14,os30,et50)",-2.715,46.82,-0.18,8.1,-0.26,83,5
"MACDHist(f12,s26,sb2)",-2.779,44.11,-0.72,39.4,-1.07,405,5
"WR(p7,os-80,et50)",-2.868,43.39,-0.39,30.9,-0.54,317,5
"MACDHist(f12,s26,sb2)",-2.946,45.07,-0.85,42.9,-1.16,441,5
"BB(p20,std2.0,os40)",-3.149,47.82,-0.42,48.0,-0.52,493,5
"BB(p20,std2.0,os45)",-3.214,47.81,-0.43,48.7,-0.52,500,5
"BB(p20,std2.5,os35)",-3.219,43.45,-0.38,31.7,-0.44,326,5
"BB(p10,std2.0,os40)",-3.699,53.1,-0.46,73.0,-0.59,750,5
"BB(p14,std2.0,os40)",-3.803,48.07,-0.49,59.6,-0.59,612,5
