rank,name,sharpe,winrate,return,t_month,max_dd,n_trades,n_pairs
1,"Donchian(p20,ep5)",2.418,100.0,0.07,0.5,0.0,5,5
2,"Donchian(p50,ep25)",2.418,100.0,0.07,0.5,0.0,5,5
3,"Donchian(p15,ep7)",2.418,100.0,0.08,0.5,0.0,5,5
4,"Donchian(p20,ep10)",2.418,100.0,0.07,0.5,0.0,5,5
5,"Donchian(p20,ep10)",2.418,100.0,0.08,0.5,0.0,5,5
6,"Donchian(p30,ep15)",2.418,100.0,0.08,0.5,0.0,5,5
7,"Donchian(p40,ep20)",2.418,100.0,0.07,0.5,0.0,5,5
8,"CCI(p30,thr100)",1.528,57.56,0.08,5.8,-0.1,60,5
9,"Donchian(p20,ep10)",1.451,80.0,0.09,0.5,-0.01,5,5
10,"Engulfing(et100,bm1.2)",1.236,53.27,0.75,27.4,-0.8,282,5
11,"Engulfing(et50,bm1.0)",0.832,51.69,0.86,30.7,-0.91,315,5
12,"Engulfing(et50,bm1.2)",0.762,53.21,0.62,28.0,-0.88,288,5
13,"Engulfing(et30,bm1.2)",0.75,52.45,0.51,28.4,-0.8,292,5
14,"MomBurst(cr1.2,bm0.5)",0.373,49.36,0.81,50.3,-1.64,517,5
15,"Engulfing(et50,bm1.2)",0.333,49.44,0.39,35.4,-0.82,364,5
16,"Engulfing(et50,bm1.0)",0.289,47.53,0.42,39.1,-0.89,402,5
17,SMC(sw5),0.074,47.38,-0.18,16.3,-0.7,167,5
18,"PinBar(wr2.5,et50)",0.045,54.57,0.29,62.4,-0.86,641,5
19,"ADXDI(p14,thr15)",0.0,0.0,0.0,0.0,0.0,0,0
20,"Supertrend(atr7,m3.0)",0.0,0.0,0.0,0.0,0.0,0,0
21,"ADXDI(p14,thr18)",0.0,0.0,0.0,0.0,0.0,0,0
22,"Supertrend(atr7,m2.5)",0.0,0.0,0.0,0.0,0.0,0,0
23,"ADXDI(p14,thr20)",0.0,0.0,0.0,0.0,0.0,0,0
24,"Supertrend(atr14,m3.0)",0.0,0.0,0.0,0.0,0.0,0,0
